suburb,postcode
Fernihurst,3518
Ferntree Gully,3156
Ferny Creek,3786
Fingal,3939
Fish Creek,3959
Fitzroy,3065
Fitzroy North,3068
Five Ways,3977
Flemington,3031
Flinders,3929
Flinders Lane,8009
Flowerdale,3717
Flynn,3844
Footscray,3011
Forest Hill,3131
Forrest,3236
Foster,3960
Fosterville,3557
Fountain Gate,3805
Framlingham,3265
Franklinford,3461
Frankston,3199
Frankston North,3200
Freeburgh,3741
Freshwater Creek,3216
Fryerstown,3451
Fyansford,3221
Gapsted,3737
Garden City,3207
Gardenvale,3185
Garfield,3814
Garvoc,3265
Gatum,3407
Geelong,3220
Geelong West,3218
Gelantipy,3885
Gellibrand,3239
Gellibrand Lower,3237
Gelliondale,3971
Gembrook,3783
Genoa,3891
Gerang Gerung,3418
Gerangamete,3243
Gheringhap,3331
Gilderoy,3797
Gillieston,3616
Gippsland Mc,3841
Gipsy Point,3891
Girgarre,3624
Gisborne,3437
Gladstone Park,3043
Gladysdale,3797
Glen Alvie,3979
Glen Creek,3691
Glen Forbes,3990
Glen Huntly,3163
Glen Iris,3146
Glen Waverley,3150
Glenburn,3717
Glenfyne,3266
Glengarry,3854
Glenlyon,3461
Glenmaggie,3858
Glenmore,3340
Glenorchy,3385
Glenrowan,3675
Glenroy,3046
Glenthompson,3293
Gnarwarre,3221
Gnotuk,3260
Gobur,3719
Golden Point,3350
Golden Point,3451
Golden Point,3465
Golden Square,3555
Goldsborough,3472
Gooram,3666
Gooramadda,3685
Goorambat,3725
Goornong,3557
Gorae,3305
Gordon,3345
Gormandale,3873
Goroke,3412
Goughs Bay,3723
Goulburn Weir,3608
Gowanbrae,3043
Gowangardie,3669
Grantville,3984
Granya,3701
Grassmere,3281
Graytown,3608
Great Western,3377
Gredgwin,3537
Greendale,3341
Greensborough,3088
Greenvale,3059
Greta,3675
Grovedale,3216
Gruyere,3770
Guildford,3451
Gunbower,3566
Gundowring,3691
Guthridge,3850
Guys Forest,3709
Guys Hill,3807
Gymbowen,3401
Haddon,3351
Hadfield,3046
Hallam,3803
Halls Gap,3381
Hallston,3953
Hamilton,3300
Hamlyn Heights,3215
Hampton,3188
Hampton East,3188
Hampton North,3188
Hampton Park,3976
Hansonville,3675
Harcourt,3453
Harkaway,3806
Harrietville,3741
Harrow,3317
Harston,3616
Hastings,3915
Hawkesdale,3287
Hawksburn,3142
Hawthorn,3122
Hawthorn East,3123
Hazeldene,3658
Healesville,3777
Heath Hill,3981
Heathcote,3523
Heathcote Junction,3758
Heatherton,3202
Heathmont,3135
Hedley,3967
Heidelberg,3084
Heidelberg Heights,3081
Heidelberg Rgh,3081
Heidelberg West,3081
Henty,3312
Hepburn Springs,3461
Herne Hill,3218
Hernes Oak,3825
Hesket,3442
Hexham,3273
Heyfield,3858
Heywood,3304
Hidden Valley,3756
Highett,3190
Highpoint City,3032
Highton,3216
Hill End,3825
Hillcrest,3351
Hillside,3037
Hillside,3875
Hmas Cerberus,3920
Hoddles Creek,3139
Holmesglen,3148
Homewood,3717
Hopetoun,3396
Hopetoun Gardens,3162
Hoppers Crossing,3029
Hordern Vale,3238
Horsham,3400
Horsham,3402
Hotham Heights,3741
Hotham Hill,3051
Houston,3128
Hughesdale,3166
Hume Weir,3691
Humevale,3757
Hunter,3558
Huntingdale,3166
Huntly,3551
Huon,3695
Hurstbridge,3099
Illabarook,3351
Illowa,3282
Indented Head,3223
Inglewood,3517
Inkerman,3472
Invergordon,3636
Invergordon South,3634
Inverleigh,3321
Inverloch,3996
Invermay,3352
Iona,3815
Irrewarra,3249
Irymple,3498
Ivanhoe,3079
Ivanhoe East,3079
Jacana,3047
Jam Jerrup,3984
Jamieson,3723
Jan Juc,3228
Jancourt,3266
Jancourt East,3266
Jarklin,3517
Jeeralang,3840
Jeetho,3945
Jeparit,3423
Johanna,3238
Johnsonville,3902
Jumbuk,3869
Jumbunna,3951
Jung,3399
Junortoun,3551
Kalimna,3909
Kalkallo,3064
Kallista,3791
Kalorama,3766
Kangaroo Flat,3555
Kangaroo Ground,3097
Kaniva,3419
Kanumbra,3719
Kanyapella,3564
Kardella,3951
Karingal,3199
Karnak,3401
Katamatite,3649
Katandra,3634
Katunga,3640
Kawarren,3249
Kealba,3021
Keilor,3036
Keilor Downs,3038
Keilor East,3033
Keilor North,3036
Keilor Park,3042
Kennedys Creek,3239
Kennett River,3221
Kennington,3550
Kensington,3031
Keon Park,3073
Kerang,3579
Kergunyah,3691
Kernot,3979
Kerrie,3434
Kerrimuir,3129
Kerrisdale,3660
Kew,3101
Kew East,3102
Keysborough,3173
Kialla,3631
Kialla East,3631
Kialla West,3631
Kiata,3418
Kiewa,3691
Kilcunda,3995
Killarney,3283
Kilmany,3851
Kilmore,3764
Kilsyth,3137
Kilsyth South,3137
Kinglake,3763
Kinglake West,3757
Kings Park,3021
Kingsbury,3083
Kingston,3364
Kingsville,3012
Kirkstall,3283
Kithbrook,3666
Knowsley,3523
Knox City Centre,3152
Knoxfield,3180
Koetong,3704
Kolora,3265
Kongwak,3951
Koo Wee Rup,3981
Koonda,3669
Koondrook,3580
Koonwarra,3954
Koorlong,3501
Koornalla,3844
Kooyong,3144
Koriella,3714
Koroit,3282
Korong Vale,3520
Korumburra,3950
Korweinguboora,3461
Kotta,3565
Kotupna,3638
Koyuga,3622
Koyuga South,3621
Krowera,3945
Kunyung,3930
Kurunjang,3337
Kyabram,3619
Kyabram,3620
Kyneton,3444
Laanecoorie,3463
Labertouche,3816
Laburnum,3130
Lake Boga,3584
Lake Bolac,3351
Lake Charm,3581
Lake Mundi,3312
Lake Rowan,3727
Lake Tyers,3887
Lake Tyers Beach,3909
Lake Wendouree,3350
Lakes Entrance,3909
Lal Lal,3352
Lalbert,3542
Lalor,3075
Lancaster,3620
Lancefield,3435
Landsborough,3384
Lang Lang,3984
Langkoop,3318
Langwarrin,3910
Lara,3212
Larpent,3249
Lascelles,3487
Launching Place,3139
Lavers Hill,3238
Laverton,3028
Laverton North,3026
Law Courts,8010
Lawloit,3415
Learmonth,3352
Leichardt,3516
Leigh Creek,3352
Leitchville,3567
Lemnos,3631
Leneva,3691
Leongatha,3953
Leopold,3224
Lerderderg,3458
Lethbridge,3332
Lexton,3352
Licola,3858
Lillimur,3420
Lilydale,3140
Lima,3673
Lindenow,3865
Lindenow South,3875
Linton,3360
Lismore,3324
Litchfield,3480
Little River,3211
Llanelly,3551
Loch,3945
Loch Sport,3851
Lockington,3563
Locksley,3665
Lockwood South,3551
Logan,3475
Lone Pine,3691
Long Gully,3550
Longford,3851
Longlea,3551
Longwarry,3816
Longwood,3665
Lorne,3232
Lovely Banks,3221
Lower Plenty,3093
Lubeck,3381
Lucknow,3875
Lucyvale,3691
Lynbrook,3975
Lyndhurst,3975
Lyonville,3461
Lysterfield,3156
Macarthur,3286
Macclesfield,3782
Macedon,3440
Macks Creek,3971
Macleod,3085
Macorna,3579
Maffra,3860
Magpie,3352
Maiden Gully,3551
Maidstone,3012
Mailer Flat,3275
Main Ridge,3928
Majorca,3465
Maldon,3463
Mallacoota,3892
Malmsbury,3446
Malvern,3144
Malvern East,3145
Manangatang,3546
Mandurang,3551
Mangalore,3663
Manifold Heights,3218
Mannerim,3222
Mansfield,3722
Mansfield,3724
Marcus Hill,3222
Maribyrnong,3032
Marlo,3888
Marnoo,3387
Marong,3515
Maroona,3377
Marshall,3216
Marungi,3634
Maryborough,3465
Maryknoll,3812
Marysville,3779
Matlock,3723
Maude,3331
Mccrae,3938
Mckinnon,3204
Mcmahons Creek,3799
Meadow Heights,3048
Meeniyan,3956
Meerlieu,3862
Melbourne,3000
Melbourne,3001
Melbourne,8001
Melbourne Airport,3045
Melbourne University,3052
Melton,3337
Melton South,3338
Melville Forest,3315
Mentone,3194
Menzies Creek,3159
Mepunga,3277
Merbein,3505
Meredith,3333
Meringur,3496
Merino,3310
Merlynston,3058
Mernda,3754
Merricks,3916
Merricks Beach,3926
Merricks North,3926
Merrigum,3618
Merrijig,3723
Merton,3715
Metcalfe,3448
Metung,3904
Mia Mia,3444
Mickleham,3064
Mid Valley,3840
Middle Camberwell,3124
Middle Park,3206
Milawa,3678
Mildura Victoria,3500
Mildura,3502
Mildura Centre Plaza,3501
Mill Park,3082
Millbrook,3352
Millgrove,3799
Milloo,3572
Mincha,3575
Mincha West,3567
Miners Rest,3352
Minhamite,3287
Minimay,3413
Mininera,3351
Minyip,3392
Miram,3415
Mirboo North,3871
Mirimbah,3722
Mitcham,3132
Mitchell Park,3352
Mitchell Park,3355
Mitiamo,3573
Mitre,3401
Mitta Mitta,3701
Modella,3816
Modewarre,3240
Moe,3825
Moggs Creek,3231
Molesworth,3718
Moliagul,3472
Mollongghip,3352
Molyullah,3673
Monash University,3800
Monbulk,3793
Monomeith,3984
Mont Albert,3127
Mont Albert North,3129
Montmorency,3094
Montrose,3765
Moolap,3221
Moonambel,3478
Moondarra,3825
Moonee Ponds,3039
Moorabbin,3189
Moorabbin Airport,3194
Moorabbin East,3189
Moorabool,3221
Moorooduc,3933
Mooroolbark,3138
Mooroopna,3629
Mordialloc,3195
Moreland,3058
Moriac,3240
Mornington,3931
Morrisons,3334
Mortlake,3272
Morwell,3840
Mossiface,3885
Mount Alfred,3691
Mount Beauty,3699
Mount Best,3960
Mount Buffalo,3740
Mount Buller,3723
Mount Clear,3350
Mount Cottrell,3024
Mount Dandenong,3767
Mount Duneed,3216
Mount Egerton,3352
Mount Eliza,3930
Mount Evelyn,3796
Mount Helen,3350
Mount Hotham,3741
Mount Lonarch,3377
Mount Macedon,3441
Mount Martha,3934
Mount Moriac,3240
Mount Pleasant,3350
Mount Rowan,3352
Mount Taylor,3875
Mount Wallace,3342
Mount Waverley,3149
Mountain Gate,3156
Moutajup,3294
Moyhu,3732
Moyston,3377
Muckleford,3451
Muckleford South,3462
Mudgegonga,3737
Mulgrave,3170
Murchison,3610
Murgheboluc,3221
Murmungee,3747
Murrabit,3579
Murrayville,3512
Murrindindi,3717
Murroon,3243
Murrumbeena,3163
Murtoa,3390
Musk,3461
Myers Flat,3556
Myrniong,3341
Myrtlebank,3851
Myrtleford,3736
Myrtleford,3737
Mysia,3518
Nagambie,3608
Nalangil,3249
Nambrok,3847
Nandaly,3533
Nangiloc,3494
Nanneella,3561
Napoleons,3352
Nar Nar Goon,3812
Narbethong,3778
Nareen,3315
Nariel Valley,3705
Naringal,3277
Narrawong,3285
