rental_id,top_distances,top_tram_ids
17732251,"[820.96, 5682.99, 19914.11, 19915.42, 20201.22]","[14614, 14033, 17606, 17604, 17605]"
17744026,"[820.96, 5682.99, 19914.11, 19915.42, 20201.22]","[14614, 14033, 17606, 17604, 17605]"
17742306,"[793.59, 5655.62, 19886.74, 19888.05, 20173.85]","[14614, 14033, 17606, 17604, 17605]"
17750651,"[914.72, 5776.74, 19571.77, 19573.08, 19858.88]","[14614, 14033, 17606, 17604, 17605]"
17753329,"[914.72, 5776.74, 19571.77, 19573.08, 19858.88]","[14614, 14033, 17606, 17604, 17605]"
17742447,"[857.17, 5719.2, 17201.31, 20137.91, 20423.71]","[14614, 14033, 18610, 17604, 17605]"
17727411,"[287.58, 499.58, 5590.91, 19990.46, 20613.4]","[18611, 14614, 14728, 17604, 19106]"
17733483,"[601.37, 624.82, 5253.56, 6436.34, 20950.64]","[17603, 18611, 14728, 15699, 19106]"
17742776,"[601.37, 624.82, 5253.56, 6436.34, 20950.64]","[17603, 18611, 14728, 15699, 19106]"
17649456,"[601.37, 624.82, 5253.56, 6436.34, 20950.64]","[17603, 18611, 14728, 15699, 19106]"
17648487,"[905.52, 1053.11, 5371.39, 18697.86, 21378.93]","[17603, 18611, 14728, 19107, 19106]"
8435522,"[513.82, 5707.95, 16935.79, 20142.12, 20495.32]","[18611, 14728, 18610, 19105, 19106]"
17675206,"[18806.31, 18928.36, 19305.42, 19688.05, 19708.76]","[17917, 18490, 18489, 22320, 15559]"
17729535,"[534.95, 758.37, 4609.05, 5121.99, 6267.64]","[16778, 17602, 16718, 16610, 15699]"
17728445,"[720.14, 943.56, 5408.75, 5909.79, 5928.44]","[16778, 17602, 16718, 16610, 15699]"
17733413,"[332.99, 556.41, 4582.41, 5095.35, 6240.99]","[16778, 17602, 16718, 16610, 15699]"
17751447,"[876.28, 1116.59, 5495.44, 6641.09, 21687.18]","[17602, 17603, 16610, 15699, 19106]"
17751456,"[876.28, 1116.59, 5495.44, 6641.09, 21687.18]","[17602, 17603, 16610, 15699, 19106]"
17754229,"[624.96, 5373.66, 6519.3, 20861.34, 21214.54]","[17602, 16610, 15699, 19105, 19106]"
17711838,"[520.36, 760.67, 784.12, 6414.7, 21109.94]","[17602, 17603, 18611, 15699, 19106]"
17671259,"[469.19, 709.5, 732.95, 6363.53, 21058.77]","[17602, 17603, 18611, 15699, 19106]"
17745261,"[677.83, 918.14, 941.58, 6508.49, 21674.4]","[17602, 17603, 18611, 15699, 19106]"
17712368,"[474.62, 712.66, 1392.9, 6566.03, 18709.72]","[17602, 17603, 18612, 15699, 19107]"
17744843,"[439.27, 1471.32, 6644.45, 17582.01, 18788.14]","[17602, 18612, 15699, 19108, 19107]"
15254421,"[455.02, 5607.99, 6394.39, 24258.57, 24354.04]","[1575, 16760, 16753, 16759, 16754]"
17557932,"[1145.28, 24148.74, 24498.4, 24737.55, 24948.83]","[1575, 16755, 16757, 16758, 16759]"
17753588,"[5232.24, 5366.44, 20746.76, 21268.52, 21500.08]","[16755, 16757, 1575, 16759, 16758]"
17746666,"[298.99, 4914.5, 14405.82, 14654.3, 15052.38]","[16718, 16738, 16778, 16777, 16610]"
17736262,"[234.99, 404.13, 454.63, 14859.7, 15290.66]","[18936, 18935, 19126, 16610, 19127]"
