sa2_code,sa2_name,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000
206051512,South Melbourne,4103,884,1558,0.2154521082135023,0.37972215452108216
206051513,St Kilda - Central,5326,943,1884,0.17705595193390913,0.3537363875328577
206051514,St Kilda - West,5555,1001,1999,0.1801980198019802,0.35985598559855986
206061135,Armadale,2999,547,1127,0.1823941313771257,0.3757919306435478
206061136,Prahran - Windsor,7241,1250,2888,0.17262809004281177,0.3988399392349123
206061138,Toorak,3298,575,1307,0.17434808975136445,0.3963007883565797
206061515,South Yarra - North,4885,670,2006,0.13715455475946775,0.4106448311156602
206061516,South Yarra - South,3679,771,1316,0.20956781734166893,0.3577058983419407
206071139,Abbotsford,3338,479,1488,0.14349910125823848,0.4457759137207909
206071140,Carlton North - Princes Hill,2342,368,1007,0.15713065755764305,0.4299743808710504
206071141,Collingwood,3435,679,1471,0.19767103347889375,0.4282387190684134
206071142,Fitzroy,3185,706,1242,0.2216640502354788,0.3899529042386185
206071143,Fitzroy North,3786,768,1546,0.20285261489698891,0.40834653988378233
206071145,Clifton Hill - Alphington,2561,389,1112,0.15189379148770013,0.4342053885201093
206071517,Richmond (South) - Cremorne,5239,694,2511,0.13246802824966597,0.47928994082840237
206071518,Richmond - North,5206,1057,2040,0.20303495966192855,0.3918555512869766
207011146,Ashburton (Vic.),1685,353,680,0.20949554896142433,0.4035608308605341
207011147,Balwyn,4336,946,1514,0.21817343173431733,0.349169741697417
207011148,Balwyn North,4727,910,1913,0.1925111064099852,0.4046964247937381
207011149,Camberwell,4835,846,1912,0.1749741468459152,0.3954498448810755
207011150,Glen Iris - East,3550,556,1520,0.15661971830985916,0.428169014084507
207011152,Hawthorn East,4586,775,1789,0.1689925861317052,0.3901003052769298
207011154,Kew East,1473,234,607,0.15885947046843177,0.4120841819416157
207011155,Surrey Hills (West) - Canterbury,3478,663,1401,0.19062679700977572,0.40281771132834965
207011519,Hawthorn - North,2706,433,1091,0.16001478196600147,0.40317812269031783
207011520,Hawthorn - South,4021,673,1512,0.16737130067147477,0.37602586421288237
207011521,Kew - South,2640,453,1120,0.1715909090909091,0.42424242424242425
207011522,Kew - West,3127,525,1301,0.16789254876878798,0.416053725615606
207021156,Bulleen,3311,719,1150,0.21715493808517064,0.347327091513138
207021157,Doncaster,8094,1788,2552,0.22090437361008153,0.31529528045465777
207021159,Templestowe,4111,697,1628,0.16954512284115786,0.3960107029919728
207021160,Templestowe Lower,3891,725,1438,0.18632742225648932,0.3695708044204575
207021424,Doncaster East - North,4204,737,1611,0.17530922930542342,0.38320647002854424
207021425,Doncaster East - South,4681,998,1576,0.21320230719931638,0.336680196539201
207031161,Blackburn,6224,1127,2410,0.181073264781491,0.3872107969151671
207031162,Blackburn South,3158,745,1145,0.23590880303989867,0.36257124762507914
207031163,Box Hill,7539,2020,2129,0.26794004509881947,0.2823981960472211
207031164,Box Hill North,5171,1041,1906,0.20131502610713595,0.3685940823825179
207031165,Burwood (Vic.),3645,993,1160,0.27242798353909464,0.31824417009602196
207031166,Burwood East,3324,711,1120,0.213898916967509,0.3369434416365824
207031167,Surrey Hills (East) - Mont Albert,2548,428,1058,0.16797488226059654,0.4152276295133438
208011168,Beaumaris,3128,511,1277,0.16336317135549872,0.40824808184143224
208011169,Brighton (Vic.),5087,952,1943,0.1871436996264989,0.381954000393159
208011170,Brighton East,3538,709,1420,0.20039570378745053,0.4013566986998304
