sa2_code,sa2_name,median_hh_income,hh_total,hh_low_u650,hh_high_ge2000,pct_low_u650,pct_high_ge2000,median_hh_income_2016,income_growth_rate,median_age
204011061,Upper Yarra Valley,900.0,81,25,10,0.3086419753086419,0.1234567901234567,747.0,0.2048192771084337,43.0
204011062,Yea,1222.0,1403,364,348,0.2594440484675695,0.248039914468995,1003.0,0.2183449651046859,53.0
204021063,Benalla,1142.0,4027,1067,916,0.2649615098087907,0.2274646138564688,905.0,0.261878453038674,51.0
204021064,Benalla Surrounds,1363.0,1251,259,332,0.2070343725019984,0.2653876898481215,1121.0,0.215878679750223,52.0
204021065,Rutherglen,1344.0,1407,291,413,0.2068230277185501,0.2935323383084577,1143.0,0.1758530183727034,49.0
204021066,Wangaratta,1242.0,7185,1805,1863,0.2512178148921364,0.2592901878914405,1026.0,0.2105263157894736,44.0
204021067,Wangaratta Surrounds,1501.0,3131,582,1020,0.1858831044394762,0.3257745129351644,1210.0,0.240495867768595,48.0
204031068,Beechworth,1434.0,1683,368,508,0.2186571598336304,0.3018419489007724,1173.0,0.2225063938618925,49.0
204031069,Bright - Mount Beauty,1397.0,2867,604,844,0.2106731775374956,0.2943843739100105,1039.0,0.3445620789220404,47.0
204031070,Chiltern - Indigo Valley,1493.0,1045,192,328,0.1837320574162679,0.3138755980861244,1341.0,0.1133482475764355,47.0
204031071,Myrtleford,1226.0,1707,417,434,0.2442882249560632,0.2542472173403632,960.0,0.2770833333333333,50.0
204031072,Towong,1280.0,2079,481,511,0.2313612313612313,0.2457912457912457,1039.0,0.231953801732435,52.0
204031073,West Wodonga,1470.0,5155,1013,1616,0.1965082444228904,0.313482056256062,1315.0,0.11787072243346,39.0
204031075,Yackandandah,1833.0,1477,233,579,0.1577522004062288,0.3920108327691266,1445.0,0.2685121107266436,45.0
204031491,Baranduda - Leneva,2143.0,3455,332,1746,0.0960926193921852,0.5053545586107091,,,33.0
204031492,Wodonga,1214.0,5776,1378,1377,0.238573407202216,0.2384002770083102,,,41.0
