sa2_code,sa2_name,median_hh_income
211011258,Rowville - South,2363.0
211011259,Wantirna,1883.0
211011260,Wantirna South,1821.0
211011446,Boronia,1609.0
211011447,Ferntree Gully - North,1606.0
211011448,Ferntree Gully (South) - Upper Ferntree Gully,1960.0
211011449,The Basin,2049.0
211021261,Donvale - Park Orchards,2284.0
211021262,Warrandyte - Wonga Park,2779.0
211031263,Bayswater North,1800.0
211031265,Croydon Hills - Warranwood,2377.0
211031266,Ringwood,1660.0
211031267,Ringwood East,1945.0
211031268,Ringwood North,2330.0
211031450,Croydon - East,1566.0
211031451,Croydon - West,1695.0
211031452,Croydon South,1888.0
211041269,Forest Hill,1658.0
211041270,Mitcham (Vic.),2030.0
211041271,Nunawading,1938.0
211041272,Vermont,2042.0
211041273,Vermont South,1944.0
211051274,Belgrave - Selby,2253.0
211051275,Chirnside Park,2084.0
211051276,Healesville - Yarra Glen,1594.0
211051277,Kilsyth,1654.0
211051278,Lilydale - Coldstream,1784.0
211051279,Monbulk - Silvan,1872.0
211051280,Montrose,2094.0
211051281,Mooroolbark,1992.0
211051282,Mount Dandenong - Olinda,2102.0
211051283,Mount Evelyn,2045.0
211051284,Upwey - Tecoma,2148.0
211051285,Wandin - Seville,2066.0
211051286,Yarra Valley,1439.0
212011289,Emerald - Cockatoo,2176.0
212011546,Beaconsfield - Officer,2146.0
212011547,Bunyip - Garfield,1897.0
212011548,Koo Wee Rup,1823.0
212011549,Pakenham - North East,1651.0
212011550,Pakenham - North West,1887.0
212011551,Pakenham - South East,1235.0
212011552,Pakenham - South West,1803.0
212021293,Berwick - North,1885.0
212021295,Doveton,1262.0
212021297,Hallam,1496.0
212021299,Narre Warren North,2659.0
212021453,Endeavour Hills - North,1823.0
212021454,Endeavour Hills - South,1733.0
212021455,Narre Warren - North East,1920.0
212021456,Narre Warren - South West,1615.0
212021553,Berwick - South East,2361.0
212021554,Berwick - South West,2175.0
212031300,Cranbourne,1477.0
212031303,Cranbourne South,2228.0
212031304,Cranbourne West,1903.0
212031306,Lynbrook - Lyndhurst,2330.0
212031308,Pearcedale - Tooradin,1895.0
212031457,Narre Warren South - East,2352.0
212031458,Narre Warren South - West,2011.0
212031555,Clyde North - North,2288.0
212031556,Clyde North - South,2193.0
212031557,Cranbourne East - North,1931.0
212031558,Cranbourne East - South,1958.0
212031559,Cranbourne North - East,2184.0
212031560,Cranbourne North - West,1686.0
212031561,Hampton Park - East,1623.0
212031562,Hampton Park - West,1462.0
212041309,Clarinda - Oakleigh South,1659.0
212041310,Clayton South,1630.0
212041312,Dandenong North,1436.0
212041313,Dingley Village,1981.0
212041316,Noble Park North,1453.0
212041317,Springvale,1401.0
212041318,Springvale South,1505.0
212041459,Noble Park - East,1359.0
212041460,Noble Park - West,1399.0
212041563,Dandenong - North,1208.0
212041564,Dandenong - South,1288.0
212041565,Keysborough - North,1525.0
212041566,Keysborough - South,2493.0
212051319,Ashwood - Chadstone,2011.0
212051321,Glen Waverley - East,1949.0
212051322,Glen Waverley - West,1890.0
212051323,Mount Waverley - North,2049.0
212051324,Mount Waverley - South,2079.0
212051325,Mulgrave,1913.0
212051326,Oakleigh - Huntingdale,1956.0
212051327,Wheelers Hill,1818.0
212051567,Clayton (North) - Notting Hill,1278.0
212051568,Clayton - Central,1711.0
213011328,Ardeer - Albion,1366.0
213011329,Cairnlea,2062.0
213011331,Delahey,1486.0
213011332,Keilor Downs,1553.0
213011333,Kings Park (Vic.),1246.0
213011334,St Albans - North,1183.0
213011335,St Albans - South,1232.0
213011336,Sunshine,1566.0
213011337,Sunshine North,1399.0
213011338,Sunshine West,1416.0
213011339,Sydenham,1820.0
213011340,Taylors Lakes,2167.0
213011569,Deer Park,1459.0
213011570,Derrimut,2271.0
213021341,Altona,1861.0
213021342,Altona Meadows,1573.0
213021343,Altona North,1740.0
213021344,Newport,2555.0
213021345,Seabrook,2042.0
213021346,Williamstown,2382.0
213031347,Braybrook,1686.0
213031348,Footscray,1763.0
213031349,Maribyrnong,2020.0
213031350,Seddon - Kingsville,2364.0
213031351,West Footscray - Tottenham,1988.0
213031352,Yarraville,2483.0
213041353,Bacchus Marsh,1807.0
213041358,Melton West,1621.0
213041359,Rockbank - Mount Cottrell,2123.0
213041360,Taylors Hill,2315.0
213041461,Burnside,1871.0
213041462,Burnside Heights,2246.0
213041463,Caroline Springs,2133.0
213041571,Brookfield,1627.0
213041572,Cobblebank - Strathtulloh,2056.0
213041573,Eynesbury - Exford,2562.0
213041574,Fraser Rise - Plumpton,2254.0
