rental_id,top_distances,top_school_ids
17727071,"[771.03, 906.92, 1036.48, 1822.15, 2153.39]","[1402, 2111, 25, 8405, 2079]"
17727306,"[381.68, 506.31, 517.57, 1589.65, 1859.1]","[1402, 25, 2111, 8405, 2079]"
17731664,"[729.3, 865.19, 994.76, 1780.42, 2046.66]","[1402, 2111, 25, 8405, 2079]"
17733127,"[189.44, 284.93, 337.71, 1184.58, 1862.02]","[25, 2111, 1402, 8405, 2079]"
17533857,"[841.41, 977.3, 1106.86, 1890.59, 2223.77]","[1402, 2111, 25, 8405, 2079]"
17623723,"[635.17, 771.06, 900.63, 1686.3, 2112.59]","[1402, 2111, 25, 8405, 2079]"
17664755,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
17665585,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
17668286,"[841.41, 977.3, 1106.86, 1890.59, 2223.77]","[1402, 2111, 25, 8405, 2079]"
17687092,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
17695351,"[729.3, 865.19, 994.76, 1780.42, 2046.66]","[1402, 2111, 25, 8405, 2079]"
17707463,"[136.91, 272.8, 515.31, 1344.89, 1614.34]","[1402, 2111, 25, 8405, 2079]"
17712958,"[841.41, 977.3, 1106.86, 1890.59, 2223.77]","[1402, 2111, 25, 8405, 2079]"
8434061,"[710.39, 846.28, 975.85, 1761.51, 2092.75]","[1402, 2111, 25, 8405, 2079]"
10856328,"[712.68, 848.57, 978.14, 1763.81, 2095.04]","[1402, 2111, 25, 8405, 2079]"
13825204,"[896.37, 1032.26, 1161.83, 2278.74, 2438.02]","[1402, 2111, 25, 2079, 8405]"
15726428,"[896.37, 1032.26, 1161.83, 2278.74, 2438.02]","[1402, 2111, 25, 2079, 8405]"
16557249,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
16605693,"[798.59, 934.48, 1064.05, 1849.72, 2117.69]","[1402, 2111, 25, 8405, 2079]"
16640291,"[635.17, 771.06, 900.63, 1686.3, 2112.59]","[1402, 2111, 25, 8405, 2079]"
16781720,"[798.59, 934.48, 1064.05, 1849.72, 2117.69]","[1402, 2111, 25, 8405, 2079]"
16881718,"[1146.55, 1282.44, 1412.01, 2421.97, 2796.51]","[1402, 2111, 25, 8405, 2079]"
17112327,"[635.17, 771.06, 900.63, 1686.3, 2112.59]","[1402, 2111, 25, 8405, 2079]"
17213063,"[635.17, 771.06, 900.63, 1686.3, 2112.59]","[1402, 2111, 25, 8405, 2079]"
17322456,"[791.89, 927.78, 1057.34, 1843.01, 2110.99]","[1402, 2111, 25, 8405, 2079]"
17616747,"[761.94, 897.83, 1027.4, 1813.07, 2144.31]","[1402, 2111, 25, 8405, 2079]"
16167743,"[798.59, 934.48, 1064.05, 1849.72, 2117.69]","[1402, 2111, 25, 8405, 2079]"
17739024,"[816.19, 957.98, 1162.76, 1599.78, 2687.86]","[25, 2111, 1402, 2016, 2079]"
17748692,"[161.74, 257.23, 462.01, 1858.5, 1987.11]","[25, 2111, 1402, 2016, 2079]"
16872599,"[94.77, 259.19, 299.54, 1824.65, 1950.67]","[2111, 25, 1402, 2079, 2016]"
17727474,"[862.34, 1110.16, 1358.45, 1785.35, 2106.73]","[2111, 25, 2079, 8405, 2605]"
17738030,"[862.34, 1110.16, 1358.45, 1785.35, 2106.73]","[2111, 25, 2079, 8405, 2605]"
8592929,"[805.72, 1053.53, 1301.82, 1728.72, 2050.11]","[2111, 25, 2079, 8405, 2605]"
11024806,"[805.72, 1053.53, 1301.82, 1728.72, 2050.11]","[2111, 25, 2079, 8405, 2605]"
11289583,"[805.72, 1053.53, 1301.82, 1728.72, 2050.11]","[2111, 25, 2079, 8405, 2605]"
15510353,"[1201.78, 1305.81, 1319.57, 1994.76, 2147.18]","[2111, 2079, 25, 8405, 2605]"
17717315,"[968.08, 1072.11, 1085.88, 1761.06, 2094.56]","[2111, 2079, 25, 8405, 2605]"
10652413,"[968.08, 1072.11, 1085.88, 1761.06, 2094.56]","[2111, 2079, 25, 8405, 2605]"
8431355,"[805.51, 1053.33, 1301.61, 1728.52, 2049.9]","[2111, 25, 2079, 8405, 2605]"
8431418,"[783.35, 1031.16, 1279.45, 1706.35, 2158.19]","[2111, 25, 2079, 8405, 2605]"
8524631,"[1067.44, 1171.47, 1185.24, 1860.43, 2157.32]","[2111, 2079, 25, 8405, 2605]"
17664692,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17671471,"[765.52, 883.32, 1331.83, 2271.55, 2416.76]","[2111, 25, 2079, 2605, 2016]"
17753912,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17747654,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17610745,"[688.76, 806.55, 1256.66, 2194.79, 2339.99]","[2111, 25, 2079, 2605, 2016]"
17693749,"[746.0, 863.79, 1224.51, 2252.03, 2397.24]","[2111, 25, 2079, 2605, 2016]"
17742088,"[550.51, 668.3, 1670.8, 2056.54, 2201.75]","[2111, 25, 2079, 2605, 2016]"
