rental_id,top_distances,top_station_ids,distance_to_cbd
17061870,"[3515.1, 3516.25, 3698.84]","['11200', '11199', 'vic:rail:BWD']",15557.8
17673342,"[3817.16, 3818.31, 4000.9]","['11200', '11199', 'vic:rail:BWD']",15859.86
17741157,"[3711.47, 3712.63, 3895.21]","['11200', '11199', 'vic:rail:BWD']",15754.18
17745433,"[3489.31, 3490.46, 3673.05]","['11200', '11199', 'vic:rail:BWD']",15532.01
17623020,"[2822.07, 2823.23, 3010.15]","['11200', '11199', 'vic:rail:BWD']",14864.78
17707378,"[3887.97, 3889.12, 4071.57]","['11200', '11199', 'vic:rail:BWD']",15930.67
17744138,"[880.9, 882.05, 2118.87]","['11200', '11199', 'vic:rail:BWD']",12736.8
17747386,"[2216.48, 2477.82, 2478.97]","['vic:rail:BWD', '11200', '11199']",14520.52
17750905,"[1226.84, 1227.99, 1345.71]","['11200', '11199', 'vic:rail:BWD']",13269.54
17753986,"[1817.23, 1818.38, 2328.17]","['11200', '11199', 'vic:rail:BWD']",13115.92
17681552,"[1319.74, 1320.89, 1826.3]","['11200', '11199', 'vic:rail:BWD']",13362.44
17731485,"[1036.31, 2159.58, 2160.74]","['vic:rail:BWD', '11200', '11199']",14202.29
17734836,"[925.48, 926.64, 1844.79]","['11200', '11199', 'vic:rail:BWD']",12968.48
17693377,"[1425.29, 1426.44, 1931.85]","['11200', '11199', 'vic:rail:BWD']",13467.99
17749822,"[1441.21, 1442.36, 1947.77]","['11200', '11199', 'vic:rail:BWD']",13483.91
8619472,"[2366.61, 2367.76, 2548.61]","['11200', '11199', 'vic:rail:BWD']",14409.31
17512392,"[624.72, 2025.99, 2638.29]","['11199', 'vic:rail:BWD', 'vic:rail:HWL']",12666.27
17717604,"[2113.53, 2118.88, 2978.8]","['11201', '11202', 'vic:rail:HWL']",12222.14
17624808,"[2071.72, 2387.62, 2392.97]","['vic:rail:HWL', '11201', '11202']",15360.83
17694453,"[1816.94, 2132.84, 2138.19]","['vic:rail:HWL', '11201', '11202']",13535.53
17694764,"[1816.94, 2132.84, 2138.19]","['vic:rail:HWL', '11201', '11202']",13535.53
17711258,"[1555.15, 1560.5, 2420.42]","['11201', '11202', 'vic:rail:HWL']",12747.21
17722598,"[1686.21, 2002.11, 2007.46]","['vic:rail:HWL', '11201', '11202']",14015.99
17729682,"[1799.5, 1804.84, 2664.76]","['11201', '11202', 'vic:rail:HWL']",12421.85
17735408,"[1560.18, 1565.53, 2425.45]","['11201', '11202', 'vic:rail:HWL']",12752.25
17747367,"[2939.87, 3255.77, 3261.12]","['vic:rail:HWL', '11201', '11202']",14650.54
17747605,"[1802.43, 1807.78, 2667.7]","['11201', '11202', 'vic:rail:HWL']",12564.19
17587963,"[1802.43, 1807.78, 2667.7]","['11201', '11202', 'vic:rail:HWL']",12564.19
17646792,"[1967.91, 1973.26, 2833.18]","['11201', '11202', 'vic:rail:HWL']",12076.52
17661725,"[1394.49, 1399.84, 1885.72]","['11201', '11202', 'vic:rail:HWL']",12730.74
17669102,"[1802.43, 1807.78, 2667.7]","['11201', '11202', 'vic:rail:HWL']",12564.19
17677765,"[2123.69, 2129.04, 2988.96]","['11201', '11202', 'vic:rail:HWL']",12463.15
17703306,"[1434.69, 1750.59, 1755.94]","['vic:rail:HWL', '11201', '11202']",13554.24
17716691,"[2089.15, 2094.5, 2954.42]","['11201', '11202', 'vic:rail:HWL']",12497.69
17726338,"[1802.43, 1807.78, 2667.7]","['11201', '11202', 'vic:rail:HWL']",12564.19
17730289,"[2123.69, 2129.04, 2988.96]","['11201', '11202', 'vic:rail:HWL']",12463.15
17733412,"[2123.69, 2129.04, 2988.96]","['11201', '11202', 'vic:rail:HWL']",12463.15
17741738,"[1889.97, 1895.32, 2755.23]","['11201', '11202', 'vic:rail:HWL']",12329.28
17745753,"[1633.16, 1949.07, 1954.41]","['vic:rail:HWL', '11201', '11202']",14922.28
17712056,"[2626.4, 2942.31, 2949.14]","['vic:rail:HWL', '11201', '12214']",14964.06
17723589,"[2056.38, 2210.34, 4853.91]","['11203', '11204', 'vic:rail:WSN']",11620.37
17724927,"[1902.85, 2450.99, 4298.49]","['11203', '11204', 'vic:rail:WSN']",12794.42
17751494,"[1565.92, 1719.88, 4460.81]","['11203', '11204', 'vic:rail:WSN']",12568.85
17645802,"[1325.47, 1479.43, 4701.13]","['11203', '11204', 'vic:rail:WSN']",12357.73
17599220,"[2256.36, 2319.39, 2349.31]","['11204', '26267', 'vic:rail:RIV_DP2']",13962.07
17741007,"[1666.83, 2202.89, 2939.11]","['vic:rail:RIV_EN2', '11205', 'vic:rail:RIV']",13986.03
17691934,"[1996.18, 3807.36, 6047.01]","['11208', '11207', '11209']",8920.04
17710636,"[2146.59, 4857.96, 5648.5]","['11208', '11207', '11209']",11498.94
17717829,"[1489.44, 4200.81, 4984.95]","['11208', '11207', '11209']",12057.75
17746595,"[1994.59, 3805.77, 6045.41]","['11208', '11207', '11209']",8921.64
