sa2_code,sa2_name,cnt_0_14,cnt_15_34,cnt_35_64,cnt_65_plus,pct_0_14,pct_15_34,pct_35_64,pct_65_plus
202011019,California Gully - Eaglehawk,2476,3550,4435,2389,0.19113787247182337,0.2740466265246256,0.3423652925737224,0.18442180021614946
202011020,East Bendigo - Kennington,2144,3405,4937,3230,0.15331807780320367,0.2434925629290618,0.35304633867276886,0.23097826086956522
202011021,Flora Hill - Spring Gully,1653,2720,3418,1534,0.17508738481093106,0.28810507361508314,0.3620379197118949,0.16248278784027115
202011022,Kangaroo Flat - Golden Square,3540,5137,7260,4762,0.16829094366531971,0.24421202757309246,0.34513905395768957,0.2263845971000713
202011023,Maiden Gully,1359,1162,2266,710,0.246866485013624,0.21108083560399638,0.4116257947320618,0.12897366030881016
202011024,Strathfieldsaye,2543,2240,4161,1734,0.23737515168486886,0.20909175767758797,0.38840660879305516,0.1618594231307757
202011025,White Hills - Ascot,3413,3962,5096,1935,0.23629188590418165,0.2743007477153143,0.3528108557186375,0.13396566048186098
202021026,Bendigo Surrounds - South,1728,1815,3504,1280,0.2069708947179303,0.21739130434782608,0.4196909809558031,0.15331177386513356
202021027,Castlemaine,1611,1899,4530,3116,0.141863332159211,0.16722437477985205,0.3989080662205002,0.2743923916872138
202021028,Castlemaine Surrounds,1279,1434,3990,2457,0.1385248564930142,0.15531246615401278,0.43214556482183475,0.26611068991660347
202021029,Heathcote,739,762,2057,1450,0.14584566804815471,0.15038484310242747,0.40596013420169724,0.28616538385632523
202021030,Kyneton,1813,1879,4375,2383,0.17147451054572968,0.17771682587723447,0.413789842050506,0.22538541568145276
202021031,Woodend,1535,1295,3385,1681,0.19283919597989949,0.16268844221105527,0.42525125628140703,0.21118090452261307
202031032,Bendigo Surrounds - North,878,930,2117,1004,0.17751718560452892,0.18803073190456934,0.4280226445612616,0.20299231702385767
202031033,Loddon,1089,1199,2867,2012,0.14942371020856202,0.16451701427003293,0.3933863885839737,0.27607025246981337
203011034,Bannockburn,1915,1771,2951,1048,0.2472562943834732,0.22866365397030342,0.38102001291155585,0.1353131052291801
203011035,Golden Plains - South,1765,1695,3477,1166,0.21739130434782608,0.20876955290060353,0.4282547111713265,0.14361374553516443
203011036,Winchelsea,1226,1385,2751,1201,0.18570130263556497,0.2097849136625265,0.416691911541957,0.18191457134201758
203021037,Belmont,2570,4424,5191,2595,0.17111658565816631,0.2945602237166256,0.345628870097876,0.17278114388441307
203021039,Geelong,1749,4096,5142,2403,0.12961316140506893,0.3035423151030087,0.3810582481102712,0.17807914628723878
203021040,Geelong West - Hamlyn Heights,3829,5919,8207,3055,0.18063876963721281,0.27923762796622165,0.38717743076850497,0.14412416851441243
203021042,Highton,4408,6540,8864,4044,0.18347554630593133,0.27221644120707594,0.36894901144641,0.16832466181061395
203021043,Lara,4034,5499,8192,2956,0.19385842664231823,0.2642606564467298,0.3936758133499928,0.14205391897736555
203021044,Leopold,2410,3097,4939,2700,0.18170851240292543,0.2335067480962075,0.372389353841514,0.2035738520696675
203021045,Newcomb - Moolap,2180,3917,5470,3658,0.14110032362459546,0.25352750809061486,0.3540453074433657,0.23676375404530745
203021046,Newtown (Vic.),2003,2438,4168,1750,0.19172968316263042,0.23336843112855366,0.3989662103953288,0.16751220446061071
203021047,North Geelong - Bell Park,2445,3999,5551,3556,0.1548742636346361,0.25330968518401215,0.35161842021916767,0.22524862228415785
203021485,Charlemont,2157,3738,3020,1219,0.20933618012422361,0.36277173913043476,0.2930900621118012,0.11830357142857142
203021486,Corio - Lovely Banks,3371,5567,6664,2669,0.18384598603839442,0.3036103839441536,0.3634380453752182,0.14556064572425828
203021487,Grovedale - Mount Duneed,4505,7277,8589,4057,0.18199078936737498,0.29397269128221704,0.3469742263876545,0.1638927042094207
203021488,Norlane,1433,2694,3269,1560,0.15846511113568507,0.29790998562423976,0.36149507906668144,0.17250912307862434
203031048,Clifton Springs,2929,3410,6211,4079,0.1745946590367191,0.20326657129232237,0.37023128278493084,0.2431449690033381
203031049,Lorne - Anglesea,780,1002,2467,1890,0.12542209358417752,0.16111915098890497,0.3966875703489307,0.30390738060781475
203031051,Portarlington,1004,1225,3616,3568,0.10518596123624935,0.1283394447354636,0.3788370874803562,0.37380827658459925
203031052,Point Lonsdale - Queenscliff,635,638,1862,2243,0.11541257724463831,0.11595783351508543,0.3384223918575064,0.4076699382042894
203031053,Torquay,5386,4864,10163,4009,0.21907667276794793,0.19784421395159651,0.41338214358348585,0.16306691071791743
203031489,Barwon Heads - Armstrong Creek,2636,2909,4115,1636,0.23251301049660403,0.2565934550586575,0.362970803563553,0.1443062538590456
203031490,Ocean Grove,3818,3499,7672,4177,0.19706823577991123,0.18060286982553939,0.3959946319810055,0.21559822442448642
204011054,Alexandra,884,1093,2708,2071,0.12944794259774492,0.160052716356714,0.396544149948748,0.30326548542978476
204011055,Euroa,939,1070,2612,2166,0.13571325336031217,0.15464662523486053,0.3775112010406128,0.3130510189333719
204011056,Kilmore - Broadford,2913,3754,5932,2849,0.18713863548760118,0.24116664525247333,0.38108698445329564,0.1830271103687524
204011057,Mansfield (Vic.),1767,1953,4137,2569,0.1680616321095682,0.18575233022636484,0.39347536617842876,0.24434087882822902
204011058,Nagambie,679,768,1799,1239,0.14972436604189637,0.1693495038588754,0.39669239250275634,0.27320837927232633
204011059,Seymour,995,1577,2421,1484,0.1516537113244932,0.24035970126505105,0.36899862825788754,0.22618503276939492
204011060,Seymour Surrounds,826,1238,1833,727,0.17774908543146115,0.2664084355498171,0.394448030987734,0.15644501829137078
204011061,Upper Yarra Valley,55,41,113,30,0.2301255230125523,0.17154811715481172,0.47280334728033474,0.12552301255230125
204011062,Yea,565,652,1740,1169,0.13532934131736526,0.15616766467065868,0.4167664670658683,0.28
